Season,No. of Episode (Season),No. of Episode (Overall),Title of the Episode,Director,Assistant Director,Written by,Storyboard by,Guest Starring,Featuring,Also Appearing,Musical Numbers,Original Air Date,Product Code,U.S. Viewers (Millions),TV Rating,Running Time (Minutes),Aspect Ratio,Production Companies,IMDb Rating
12,21,231,Chap Stewie,Joe Vaux,Mark Covell,Artie Johann & Shawn Ries,"Won Ki Cho, Orlando Gumatay, Helen Kim","Cary Elwes, David Thewlis, Isaac Hempstead-Wright, Rick Springfield",Stewie Griffin,"Peter, Lois, Chris, Meg, Brian, Rupert, Quagmire, Joe, Bruce, Bonnie, Mort, Mayor Adam West, Lord & Lady Cadwallider, Jaidan & Aidan, Nigel, Rick Springfield, Jeremy Piven Uncensored version: Cousin Earl","Jessie's Job Uncensored version: It's a Long Way to Tipperary, Wayne's World",18-May-14,BACX18,3.88,TV-14,22,16:9 HD,"20th Century Fox Television, Fuzzy Door Productions, Fox Television Animation",7
13,1,232,The Simpsons Guy,Peter Shin,Michael Rundle,Patrick Meighan,"Dominic Bianchi, Francis Dinglasan, Jonathan Gebhart, Orlando Gumatay, James Purdum, Matt Whitlock","Dan Castellaneta, Nancy Cartwright, Yeardley Smith","Peter, Lois, Meg, Chris, Brian, Stewie, Homer Simpson, Marge Simpson, Bart Simpson, Lisa Simpson, Maggie Simpson","Cleveland, Joe, Quagmire, Bonnie, Jerome, Joyce Kinney, Kool-Aid Man, Mayor Adam West, Seamus, Neil Goldman, Carter, Babs, Dr. Hartman, Consuela, Angela, Herbert, Mort Goldman, Tricia Takanawa, Principal Shepherd, Tom Tucker, Rupert, Bruce, Al Harrington, Mr. Berler, Opie, Santa's Little Helper, Apu, Moe, Barney, Lenny, Carl, Otto Mann, Ralph Wiggum, Nelson Muntz, Kodos, Kang, Jebediah Springfield, Krusty the Clown, Rich Texan, Fat Tony, Jimbo, Snake Jailbird, Herman Hermann, Lucille Botzcowski, Dr. Colossus, Louie, Hank Scorpio, Chief Wiggum, Lou, Eleanor Abernathy, Abe Simpson, Patty & Selma, Dr. Nick, Squeaky Voiced Teen, Eddie, Bleeding Gums Murphy, Snowball II, Hans Moleman, Blue Haired Lawyer, Sideshow Bob, Principal Skinner, Sideshow Mel, Comic Book Guy, Matt Groening, Waylon Smithers, Groundskeeper Willie, Mr. Burns, Sea Captain, Professor John Frink, Duffman, Mayor Quimby, Bumblebee Man, Kent Brockman, Bobo, Luanne van Houten, Martin Prince, Milhouse van Houten, Sherri & Terri, Itchy & Scratchy, Troy McClure, Archie Bunker, Edith Bunker, Spider-Man, J. Jonah Jameson, Fred Flintstone, Bob Belcher, Roger, Claire Dunphy, Jay & Gloria Pritchett, Mitchell Pritchett, Cameron Tucker, James Woods, Seth MacFarlane",Gracie Films Logo,28-Sep-14,BACX22-BACX23,8.45,TV-14,44,16:9 HD,"20th Century Fox Television, Fuzzy Door Productions, Fox Television Animation",8.4
13,2,233,The Book of Joe,Mike Kim,Jonathan Gebhart,Mike Desilets,"Young Baek, Won Ki Cho, Helen Kim, Pablo Solis",None,"Joe Swanson, Peter Griffin","Lois, Meg, Chris, Stewie, Brian, Cleveland Brown, Jr., Bonnie, Kevin, Tom Tucker, Cleveland, Quagmire, Al Harrington, Chloe, Gene Shalit, JoAnne, Mr. Peanut, Blake Walker, Captain Kirk, Uhura, Sulu, Spock, Bones McCoy, Cee-lo Green",None,5-Oct-14,CACX01,3.63,TV-14,21,16:9 HD,"20th Century Fox Television, Fuzzy Door Productions, Fox Television Animation",6.6
13,3,234,Baking Bad,Jerry Langford,Oreste Canestrelli,Mark Hentemann,"Dante Leandado, Bao Nguyen, Eric Sanford",None,"Peter Griffin, Lois Griffin","Chris, Meg, Stewie, Brian, Joe, Quagmire, Cleveland, Mort Goldman, Mayor West, Dr. Hartman, Rupert, Tom Tucker, Mr. Duckford, Mr. Giraffe, Mr. Octopus, Sandman, Moses, Paul Revere, George Washington, Thomas Jefferson, Theodore Roosevelt, Abraham Lincoln, Cookie Monster, Cookie, Sugar, Spice, Cinnamon, Brown Sugar & Butter, Richard Branson, Connie Britton","Head, Shoulders, Knees and Toes",19-Oct-14,BACX20,4.74,TV-14,21,16:9 HD,"20th Century Fox Television, Fuzzy Door Productions, Fox Television Animation",6.9
13,4,235,Brian the Closer,John Holmquist,Rick Del Carmen,Steve Marmel,"Rob Bou-Saab, Dave Sherburne, Ron Smith",None,Brian,"Peter, Lois, Stewie, Chris, Meg, Quagmire, Cleveland, Joe, Bonnie, Rupert, Dumb Beaver, Jerome, Tommy Sullivan, Mr. and Mrs. Sullivan, Randall, Mittens, André the Giant, Wallace Shawn, Ice-T, Adam Sandler, Jason Voorhees, Johnny 5, Seth Rogen, Leslie Mann",Italian Clown,9-Nov-14,BACX21,3.63,TV-14,21,16:9 HD,"20th Century Fox Television, Fuzzy Door Productions, Fox Television Animation",6.7
13,5,236,Turkey Guys,Julius Wu,John Banh,Cherry Chevapravatdumrong,"Ivaylo Angelov, Rob Bou-Saab, Rick Del Carmen, Debbie Shin",None,"Peter Griffin, Brian","Lois, Chris, Stewie, Meg, Joe, Bonnie, Susie, Kevin, Quagmire, Cleveland, Donna, Roberta, Rallo, Cleveland Brown, Jr., Carter Pewterschmidt, Barbara Pewterschmidt, Mayor Adam West, Carl, Mickey Rabbit, SpongeCow, Clifton the Small Blue Dog, Ka-Ya, Andy Capp, Peanuts",Ads,16-Nov-14,CACX02,4.46,TV-14,21,16:9 HD,"20th Century Fox Television, Fuzzy Door Productions, Fox Television Animation",6.8
13,6,237,The 2000-Year-Old Virgin,Joseph Lee,Wincat Alcala,Ted Jessup,"Eric Sanford, Ron Smith, Matt Whitlock",None,"Jesus, Peter","Lois, Meg, Chris, Brian, Stewie, Rupert, Cleveland, Quagmire, Joe, God, Seamus, Jerome, Mayor West, Ken, Pam & Scott, Maya, Tommy Bahama, Tasmanian Devil, Jeff Garlin, Carrie Underwood, Lady Gaga, Joni Mitchell",None,7-Dec-14,CACX03,4.44,TV-14,21,16:9 HD,"20th Century Fox Television, Fuzzy Door Productions, Fox Television Animation",6
13,7,238,"Stewie, Chris, & Brian's Excellent Adventure",Joe Vaux,Mark Covell,Alex Carter,"Francis Dinglasan, Dante Leandado, Bao Nguyen",None,"Stewie, Chris, Brian","Peter, Lois, Meg, Principal Shepherd, Rupert, God, Mrs. Roberts, Teacher Doug, Nigel Harpington, Cornelia Andrews, Elizabeth Bonnell, William Carter, Alice Fortune, Otto, Captain Edward Smith, Thomas Jefferson, Ernest Hemingway, Tony Sirico, George Washington, Jane Austen, Ivan Pavlov, Adolf Hitler",None,4-Jan-15,CACX04,5.53,TV-14,24,16:9 HD,"20th Century Fox Television, Fuzzy Door Productions, Fox Television Animation",7.4
13,8,239,Our Idiot Brian,John Holmquist,Rick Del Carmen,Aaron Lee,"Annemarie Brown, Helen Kim, Dave Sherburne",None,Brian,"Peter, Lois, Meg, Chris, Stewie, Ruth, Esther, Patty, Rupert, Dr. Hartman, Neil Goldman, Principal Shepherd, Artemis, The Avengers, The Mighty Ducks, Michael Jordan, Abraham Lincoln, Malcolm X, Adam Sandler, Andy Samberg",Party Like It's the Roaring Twenties,11-Jan-15,CACX05,4.12,TV-14,21,16:9 HD,"20th Century Fox Television, Fuzzy Door Productions, Fox Television Animation",7
13,9,240,This Little Piggy,Brian Iles,Ivaylo Angelov,Kristin Long,"Rob Bou-Saab, Debbie Shin, Pablo Solis",None,Meg Griffin,"Brian, Stewie, Peter, Lois, Chris, Joe, Quagmire, Dr. Hartman, Evan, Miss Tammy, The Quahog Baptist Choir, Cassandra, Boppo the Inflatable Punching Clown, Dr. Finklestein, Igor, Jason Biggs, Dorothy, Tin Man, Scarecrow, Toto, Cowardly Lion, The Wizard, Mr. Wilson, Rocky Dennis, Frasier Crane, Niles Crane, John Edwards, Monty Hall, Charles Barkley, Eddie Murphy, Ben Stiller",Sing What We See,25-Jan-15,CACX06,3.19,TV-14,22,16:9 HD,"20th Century Fox Television, Fuzzy Door Productions, Fox Television Animation",6.7
13,10,241,Quagmire's Mom,Greg Colton,Young Baek,Tom Devanney,"Won Ki Cho, Eric Sanford, Matt Whitlock",Allison Janney,"Glenn Quagmire, Crystal Quagmire, Peter Griffin","Lois, Meg, Chris, Stewie, Brian, Joe, Bonnie, Susie, Cleveland, Donna, Carl, Mort, Dr. Hartman, Mayor Adam West, Keira, Ronnie, Max & The Wild Things, Santa Claus, Mrs. Claus, Dirty Harry, Angelina Jolie, Brad Pitt, Al Jarreau, Guster","Baba O'Riley, The Alphabet Song, Happy Birthday, Al Jarreau Jazeera",8-Feb-15,CACX07,2.81,TV-14,21,16:9 HD,"20th Century Fox Television, Fuzzy Door Productions, Fox Television Animation",6.6
13,11,242,Encyclopedia Griffin,Jerry Langford,Oreste Canestrelli,Lew Morton,"Francis Dinglasan, Dante Leandado, Bao Nguyen",None,"Chris, Lois, Peter","Stewie, Brian, Rupert, Meg, Joe, Cleveland, Quagmire, Mayor Adam West, Heather, Ramone, Mistress Vieda, Mario, Donkey Kong, Pauline, Jet Li, Huey Lewis and the Jews, Katherine Heigl, Kenny G, Aaron Hernandez",Joe Is on a Vacation,15-Feb-15,CACX08,2.51,TV-14,21,16:9 HD,"20th Century Fox Television, Fuzzy Door Productions, Fox Television Animation",6.6
13,12,243,Stewie Is Enceinte,Steve Robertson,Pablo Solis,Gary Janetti,"Annemarie Brown, Helen Kim, Dave Sherburne",None,"Stewie Griffin, Brian","Lois, Chris, Peter, Quagmire, Cleveland, Joe, Bonnie, Susie, Rupert, Tom Tucker, Dr. Hartman, Mayor West, Jack, Rose, Finn, Mary Beth, Elmer Fudd, Sylvester the Cat, Jack and Jill, Buster Keaton Uncensored version: Barack Obama, Michelle Obama",None,8-Mar-15,CACX09,3.98,TV-14,22,16:9 HD,"20th Century Fox Television, Fuzzy Door Productions, Fox Television Animation",5.8
13,13,244,Dr. C and the Women,Mike Kim,Jonathan Gebhart,Travis Bowe,"Rob Bou-Saab, Orlando Gumatay, Ron Smith",None,"Cleveland Brown, Meg Griffin","Peter, Lois, Stewie, Brian, Chris, Joe, Quagmire, Mayor Adam West, Larry, Marla, Scott, Doc Martens, Amelia Bedelia",Peter's Closing Song,15-Mar-15,CACX10,3.45,TV-14,22,16:9 HD,"20th Century Fox Television, Fuzzy Door Productions, Fox Television Animation",6.6
13,14,245,#JOLO,Julius Wu,John Banh,Artie Johann & Shawn Ries,"Michael Rundle, Eric Sanford, Debbie Shin, Matt Whitlock",None,"Joe, Peter, Cleveland, Quagmire","Lois, Brian, Chris, Meg, Stewie, Bonnie, Kevin Swanson, Donna Tubbs-Brown, Jerome, Mayor Adam West, Carol West, Carter Pewterschmidt, Barbara Pewterschmidt, Humpty Dumpty, Lorraine McFly, Chrysalis, Ichabod, Cancer, Manettii, Mikey Nicholson","Barbie Girl, Four Friends",12-Apr-15,CACX11,3.11,TV-14,22,16:9 HD,"20th Century Fox Television, Fuzzy Door Productions, Fox Television Animation",7
13,15,246,Once Bitten,Joseph Lee,Wincat Alcala,Anthony Blasucci,"Won Ki Cho, Dante Leandado, Bao Nguyen",None,"Peter, Brian","Lois, Chris, Meg, Stewie, Rupert, Quagmire, Cleveland, Joe, Neil Goldman, Mort Goldman, Principal Shepherd, Dr. Hartman, Seamus, The Warsaw Globetrotters, Indiana Jones, Timmy, Lassie, Morgan Fairchild, Tom Sizemore, Sean Penn, Michael Vick","Sweet Georgia Brown, Don't Get Shot by a Bullet",19-Apr-15,CACX12,3.3,TV-14,22,16:9 HD,"20th Century Fox Television, Fuzzy Door Productions, Fox Television Animation",6.7
13,16,247,Roasted Guy,Joe Vaux,Mark Covell,Andrew Goldberg,"Annemarie Brown, Francis Dinglasan, Dave Sherburne",None,"Peter Griffin, Jamie, Karen, Becca, Lois Griffin","Meg, Chris, Stewie, Brian, Quagmire, Joe, Cleveland, Donna, Roberta, Cleveland Brown, Jr., Bonnie, Kevin, Susie Swanson. Carter, Barbara Pewterschmidt, Carl, Seamus, Consuela, Ida Davis, Joyce Kinney, Stella, Angela, Herbert, Mort, Neil, Jerome, Pam, Mayor Adam West, Carol, Tom Tucker, Ollie Williams, Dr. Hartman, Bruce, Jeffrey, Al Harrington, Tricia Takanawa, Tomik and Bellgarde, Principal Shepherd, Jiminy Cricket, Andrea Cricket, Phil & Robert, Emily, Peter, DJ Butcher, Dean Martin, Sammy Davis, Jr., Lucille Ball, Frank Sinatra, Don Rickles, Milton Berle, Phyllis Diller, Foster Brooks, Freddie Prinze, Danny Thomas, Adrian Peterson",None,26-Apr-15,CACX13,3.17,TV-14,22,16:9 HD,"20th Century Fox Television, Fuzzy Door Productions, Fox Television Animation",7.2
13,17,248,Fighting Irish,Brian Iles,Ivaylo Angelov,Jaydi Samuels,"Eric Sanford, Debbie Shin, Ron Smith",Liam Neeson,"Peter Griffin, Liam Neeson","Lois, Stewie, Meg, Chris, Brian, Quagmire, Joe, Bonnie, Cleveland, Donna, Tom Tucker, Landon, Miss Eleanor, Miss Tammy, Jimmy, Sara Stroud, Kraken, Lone Ranger, Tonto, Colin Farrell",None,3-May-15,CACX15,3.68,TV-14,22,16:9 HD,"20th Century Fox Television, Fuzzy Door Productions, Fox Television Animation",6.8
13,18,249,Take My Wife,John Holmquist,Rick Del Carmen,Kevin Biggins,"Rob Bou-Saab, Orlando Gumatay, Helen Kim",None,"Peter Griffin, Lois Griffin","Chris, Meg, Stewie, Brian, Quagmire, Joe, Bonnie, Cleveland, Donna, Carter Pewterschmidt, Barbara Pewterschmidt, Tom Tucker, Kimi, Noel, Carey Mulligan, Jack LaLanne","Jack LaLanne Workout, Haven't Met You Yet",17-May-15,CACX14,2.85,TV-14,22,16:9 HD,"20th Century Fox Television, Fuzzy Door Productions, Fox Television Animation",7.3
14,1,250,Pilling Them Softly,Jerry Langford,None,Hayes Davenport,"Annemarie Brown, Francis Dinglasan, Dave Sherburne, Matt Whitlock",None,"Brian, Stewie Griffin","Lois, Meg, Chris, Rupert, Peter, Quagmire, Cleveland, Joe, Elmer Hartman, Jerome, Donna, Bonnie, Tom Tucker, Miss Tammy, Miss Emily, Carson, Mr. Spacely, Javier Bardem, George R. R. Martin",None,27-Sep-15,CACX17,2.87,TV-14,25,16:9 HD,"20th Century Fox Television, Fuzzy Door Productions, Fox Television Animation",7.1
14,2,251,Papa Has a Rollin' Son,Steve Robertson,Pablo Solis,Danny Smith,"Rob Bou-Saab, Helen Kim, Michael Rundle","Ed O'Neill, Sean Kenin","Peter Griffin, Joe Swanson, Bud Swanson","Lois, Meg, Chris, Brian, Stewie, Cleveland, Quagmire, Ida Davis, Dr. Hartman, Bonnie, Miss Tammy, Mayor West, Cinnamon, Santa Claus, Rudolph the Uncircumcised Reindeer, Charles Dickens, Tom Cruise",None,4-Oct-15,CACX18,3.56,TV-14,22,16:9 HD,"20th Century Fox Television, Fuzzy Door Productions, Fox Television Animation",7.1
14,3,252,"Guy, Robot",Mike Kim,Tim Parsons,Chris Regan,"Bao Nguyen, Debbie Shin, Matt Whitlock",None,"Brian, Stewie, Lyle","Lois, Peter, Meg, Chris, Quagmire, Cleveland, Joe, Rupert, Consuela, Carl, Bruce, Herbert, Jesse, Ted R., Ted B., Kyle, Buffalo Bill, Aziz Ansari, James Taylor, Vin Diesel",None,11-Oct-15,DACX02,2.79,TV-14,22,16:9 HD,"20th Century Fox Television, Fuzzy Door Productions, Fox Television Animation",7
14,4,253,Peternormal Activity,Greg Colton,Young Baek,Chris Sheridan,"Won Ki Cho, Dante Leandado, Bao Nguyen",John Cougar Mellencamp,"Peter Griffin, Joe, Cleveland, Quagmire","Lois, Chris, Meg, Stewie, Brian, Rupert, Mayor Adam West, Jimmy Sullivan, Albert, Jan Itter, Johnny Wind Chimes, Cary Grant, Deborah Kerr, John Goodman Uncensored version: Bruce",Dodge Tough,25-Oct-15,CACX16,3.85,TV-14,21,16:9 HD,"20th Century Fox Television, Fuzzy Door Productions, Fox Television Animation",7.5
14,5,254,"Peter, Chris, & Brian",Joe Vaux,Mark Covell,Patrick Meighan,"Annemarie Brown, Eric Sanford, Ron Smith",None,"Peter Griffin, Chris Griffin, Brian","Lois, Meg, Stewie, Quagmire, Joe, Cleveland, Tom Tucker, Paul, Moses, Marcus Mumford, Larry Bird, Kate Upton",Fish & Chips,8-Nov-15,DACX03,2.58,TV-14,21,16:9 HD,"20th Century Fox Television, Fuzzy Door Productions, Fox Television Animation",6.7
14,6,255,Peter's Sister,John Holmquist,Rick Del Carmen,Tom Devanney,"Rob Bou-Saab, Hee Jung Kim, Dave Sherburne","Kate McKinnon, Belita Moreno","Peter Griffin, Meg Griffin, Karen Griffin","Brian, Stewie, Lois, Chris, Quagmire, Joe, Cleveland, Bonnie, Susie Swanson, Donna Tubbs-Brown, Cleveland Brown, Jr., Rallo, Roberta, Uncle Dan, Uncle Neil, Rosario Vargas, Bill, Kyle, Her Majesty's Secret Cervix, Superman, Noid, Franklin Delano Roosevelt, Abraham Lincoln, George Washington, Jack Skellington & the residents of Halloween Town, Bill Cosby, The cast of The Cosby Show, Michael J. Fox, Bea Arthur, Bonnie Franklin, Steven Seagal, Muhammad Ali","Guy Friends!, Chico's Monkey Farm, Patriotic Weirdness",15-Nov-15,DACX04,2.91,TV-14,21,16:9 HD,"20th Century Fox Television, Fuzzy Door Productions, Fox Television Animation",6.5
14,7,256,Hot Pocket-Dial,Steve Robertson,Pablo Solis,Aaron Lee,"Dante Leandado, Michael Rundle, Matt Whitlock",None,"Glenn Quagmire, Lois Griffin, Peter Griffin","Brian, Stewie, Chris, Meg, Joe, Bonnie Swanson, Cleveland, Donna Tubbs-Brown, Rallo Tubbs, Cleveland Brown, Jr., Roberta Tubbs, Neil Goldman, Mort Goldman, Ida Davis, Carter Pewterschmidt, Crystal Quagmire, Brenda Quagmire, Maurice, Ariel, General Zod","You're Hideous, Shame, Shame, Shame",22-Nov-15,DACX06,3.37,TV-14,22,16:9 HD,"20th Century Fox Television, Fuzzy Door Productions, Fox Television Animation",6.6
14,8,257,Brokeback Swanson,Julius Wu,John Banh,Ted Jessup,"Won Ki Cho, Eric Sanford, Debbie Shin",Joe Buck,"Joe Swanson, Brian","Lois, Chris, Stewie, Peter, Quagmire, Cleveland, Bonnie, Susie, Dr. Hartman, Tori & Vic, Gary, Daft Punk, Joe Biden",None,6-Dec-15,DACX07,3.63,TV-14,22,16:9 HD,"20th Century Fox Television, Fuzzy Door Productions, Fox Television Animation",6.8
14,9,258,A Shot in the Dark,Brian Iles,Ivaylo Angelov,Mike Desilets,"Francis Dinglasan, Jonathan Gebhart, Orlando Gumatay",None,"Peter Griffin, Cleveland Brown","Lois, Stewie, Meg, Chris, Brian, Quagmire, Joe, Tom Tucker, Tricia Takanawa, Cleveland Brown, Jr., Donna, Roberta, Rallo, Carter Pewterschmidt, Dr. Hartman, Janet, Fonzie, Cyrano de Bergerac, Christian, Roxane, Serious George, The Man in the Yellow Hat, S. Epatha Merkerson, C. C. H. Pounder",None,13-Dec-15,DACX05,3.74,TV-14,22,16:9 HD,"20th Century Fox Television, Fuzzy Door Productions, Fox Television Animation",6.9
14,10,259,"Candy, Quahog Marshmallow",Joseph Lee,Wincat Alcala,Cherry Chevapravatdumrong,"Won Ki Cho, Ralph Fernan, Orlando Gumatay, Michael Rundle, Valentino So","Ashton Kutcher, Margaret Cho","Peter, Quagmire, Joe, Cleveland","Lois, Meg, Chris, Angela, Mayor Adam West, Mort, Tom Tucker, Sujin, Buttercup, Pac-Man, Ms. Pac-Man, Hilary Duff, Ashton Kutcher, Frank Darabont, Tim Robbins, Morgan Freeman, Dave Navarro, Kim Jong-un, Ricki Lake, Howie Long",Come On Home,3-Jan-16,DACX01,3.26,TV-14,23,16:9 HD,"20th Century Fox Television, Fuzzy Door Productions, Fox Television Animation",7.1
14,11,260,The Peanut Butter Kid,Greg Colton,Young Baek,Artie Johann,"Rob Bou-Saab, Annemarie Brown, Ron Smith",None,"Stewie Griffin, Peter Griffin, Lois Griffin","Brian, Meg, Chris, Quagmire, Joe, Bonnie, Susie, Cleveland, Donna, Roberta, Cleveland Brown, Jr., Rallo, Tom Tucker, Jake Tucker, Mayor Adam West, Rupert, Queen of Burlesque Griffin, Barbara, Bob, Godzilla, Usher, Dana Plato, Scott Schwartz, Dustin Diamond, Andrew Koenig, Corey Haim","Trading Places, This is Burlesque, Who Will Buy?",10-Jan-16,DACX08,3.92,TV-14,23,16:9 HD,"20th Century Fox Television, Fuzzy Door Productions, Fox Television Animation",7.1
14,12,261,Scammed Yankees,Jerry Langford,Orlando Gumatay,Ray James,"Jonathan Gebhart, Hee Jung Kim, Bao Nguyen","Neil deGrasse Tyson, Christina Milian, Chad L. Coleman, Martha MacIsaac","Peter Griffin, Carter Pewterschmidt","Lois, Brian, Stewie, Meg, Barbara Pewterschmidt, Joe, Patty, Esther, Ruth, Tom Tucker, Black Herbert, Dave, Cheebo, Alonzo ""Hamburger"" Jones, Neil deGrasse Tyson, Adam Sandler, Kevin James, Paul Simon","Babs is Shopping, Peter Griffin",17-Jan-16,DACX09,3.4,TV-14,23,16:9 HD,"20th Century Fox Television, Fuzzy Door Productions, Fox Television Animation",6.9
14,13,262,An App a Day,Mike Kim,Max Martinez,Anthony Blasucci,"Francis Dinglasan, Dave Sherburne, Matt Whitlock",Carl Reiner,Chris Griffin,"Peter, Stewie, Brian, Lois, Joe, Quagmire, Cleveland, Principal Shepherd, Neil Goldman, Tom Tucker, Herbert, Marcy Miller, Dimitri, Phillipa, Evan, Timmy, Bill, Mrs. Lapardo, Duane Chapman",None,14-Feb-16,DACX12,2.57,TV-14,21,16:9 HD,"20th Century Fox Television, Fuzzy Door Productions, Fox Television Animation",7.1
14,14,263,Underage Peter,Joseph Lee,Wincat Alcala,Shawn Ries,"Annemarie Brown, Won Ki Cho, Eric Sanford",Jay Leno,Peter Griffin,"Brian, Chris, Stewie, Lois, Meg, Cleveland, Joe, Quagmire, Mayor Adam West, Carol West, Jerome, Opie, RJ, Tom Tucker, Joyce Kinney, Tricia Takanawa, Mort Goldman, Bruce, Jeffrey, Seamus, Jay Leno, Thomas Edison, Oliver Platt, Rebel Wilson, Kate Winslet, Jennifer Lawrence, Neil Patrick Harris",Edison Was a Dick,21-Feb-16,DACX13,2.72,TV-14,21,16:9 HD,"20th Century Fox Television, Fuzzy Door Productions, Fox Television Animation",7.2
14,15,264,A Lot Going on Upstairs,Joe Vaux,Mark Covell,Steve Callaghan,"Dante Leandado, Michael Rundle, Debbie Shin",Glenn Close,"Brian, Stewie Griffin","Lois, Chris, Meg, Peter, Joe, Cleveland, Quagmire, Rupert, Phineas & Barnaby, RJ, Fouad, Vern and Johnny, Dr. Hartman, Tom Tucker, Seamus, Ernie the Giant Chicken, Herbert, Consuela, Ollie Williams, Angela, Tricia Takanawa, Jerome, Mort, Mayor Adam West, Opie, Obie, Carter Pewterschmidt, Miss Tammy, Elmo, Lauren Graham, Alexis Bledel, Glenn Close, The Dovells",Bristol Stomp,6-Mar-16,DACX11,2.74,TV-14,22,16:9 HD,"20th Century Fox Television, Fuzzy Door Productions, Fox Television Animation",7.9
14,16,265,The Heartbreak Dog,Brian Iles,Ivaylo Angelov,Lew Morton,"Hee Jung Kim, Bao Nguyen, Ron Smith",None,"Meg Griffin, Brian, Bonnie Swanson","Lois, Stewie, Chris, Peter, Joe, Kevin Swanson, Quagmire, Cleveland, Donna, Roberta, Mort, Principal Shepherd, Mayor Adam West, Seamus Levine, Mrs. West, Mrs. Abbott, Mrs. Parkers, Jerry, Mr. Spock, V.I.C.I., Ted Lawson, Juliette Lewis","Happy, Happy Birthday (Deleted)",13-Mar-16,DACX14,2.98,TV-14,21,16:9 HD,"20th Century Fox Television, Fuzzy Door Productions, Fox Television Animation",6.7
14,17,266,Take a Letter,John Holmquist,Rick Del Carmen,Kevin Biggins,"Rob Bou-Saab, Francis Dinglasan, Dave Sherburne",Judd Hirsch,"Lois Griffin, Peter Griffin, Gretchen Mercer","Meg, Chris, Stewie, Brian, Cleveland, Bonnie, Carter, Seamus, Herbert, Mayor Adam West, Chadley, Larry, Achilles, Testiclles, Stanley Tucci, Judd Hirsch, AC/DC, Franklin Delano Roosevelt",None,17-Apr-16,DACX15,2.93,TV-14,21,16:9 HD,"20th Century Fox Television, Fuzzy Door Productions, Fox Television Animation",7
